member_id,og_id,name,party,house,startDate,endDate
3031,193,Siobhain McDonagh,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3032,193,Siobhain McDonagh,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3033,193,Siobhain McDonagh,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3034,1559,James Duddridge,Conservative,1.0,2005-05-05T00:00:00,2015-03-30T00:00:00
3035,1559,James Duddridge,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3036,1559,James Duddridge,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3037,1559,James Duddridge,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3038,4225,Lord Kestenbaum,Labour,2.0,2011-01-24T00:00:00,
3039,177,Mr Gareth Thomas,Labour,1.0,1997-05-01T00:00:00,2015-03-30T00:00:00
3040,177,Mr Gareth Thomas,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3041,177,Mr Gareth Thomas,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3042,177,Mr Gareth Thomas,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3043,4092,Stephen Metcalfe,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
3044,4092,Stephen Metcalfe,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3045,4092,Stephen Metcalfe,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3046,4092,Stephen Metcalfe,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3047,2534,Baroness Andrews,Labour,2.0,2000-05-09T00:00:00,
3048,4781,Dr Luke Evans,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3049,1580,Mr Edward Vaizey,Conservative,1.0,2005-05-05T00:00:00,2015-03-30T00:00:00
3050,1580,Mr Edward Vaizey,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3051,1580,Mr Edward Vaizey,Conservative,1.0,2017-06-08T00:00:00,2019-09-04T00:00:00
3052,1580,Mr Edward Vaizey,Independent,1.0,2019-09-04T00:00:00,2019-10-29T00:00:00
3053,1580,Mr Edward Vaizey,Conservative,1.0,2019-10-30T00:00:00,2019-11-06T00:00:00
3054,1580,Mr Edward Vaizey,Conservative,1.0,2020-09-01T00:00:00,
3055,2443,Lord Patel,Crossbench,2.0,1999-03-01T00:00:00,
3056,4752,Mark Jenkinson,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3057,4161,Lord Gardiner of Kimble,Conservative,2.0,2010-06-23T00:00:00,2021-05-11T00:00:00
3058,4161,Lord Gardiner of Kimble,Non-affiliated,2.0,2021-05-11T00:00:00,
3059,4229,Baroness Jenkin of Kennington,Conservative,2.0,2011-01-26T00:00:00,
3060,4836,Ben Everitt,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3061,57,Sir George Young,Conservative,1.0,1974-02-28T00:00:00,2015-03-30T00:00:00
3062,57,Sir George Young,Conservative,1.0,2015-09-29T00:00:00,
3063,4138,Rushanara Ali,Labour,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
3064,4138,Rushanara Ali,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3065,4138,Rushanara Ali,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3066,4138,Rushanara Ali,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3067,4851,Lia Nici-Townend,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3068,4939,Viscount Camrose,Conservative,2.0,2022-04-06T00:00:00,
3069,513,Sir Alan Beith,Liberal,1.0,1973-11-08T00:00:00,1988-03-02T00:00:00
3070,513,Sir Alan Beith,Liberal Democrat,1.0,1988-03-02T00:00:00,2015-03-30T00:00:00
3071,513,Sir Alan Beith,Liberal Democrat,1.0,2015-10-19T00:00:00,
3072,1755,Baroness Young of Old Scone,Labour,2.0,1997-11-04T00:00:00,2000-11-30T00:00:00
3073,1755,Baroness Young of Old Scone,Non-affiliated,2.0,2000-12-01T00:00:00,2015-02-25T00:00:00
3074,1755,Baroness Young of Old Scone,Labour,2.0,2015-02-25T00:00:00,
3075,4837,Aaron Bell,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3076,3736,Lord Krebs,Crossbench,2.0,2007-03-28T00:00:00,
3077,4495,Kit Malthouse,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3078,4495,Kit Malthouse,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3079,4495,Kit Malthouse,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3080,4548,Baroness Sheehan,Liberal Democrat,2.0,2015-10-02T00:00:00,
3081,3801,Lord Browne of Belmont,Democratic Unionist Party,2.0,2006-06-12T00:00:00,2006-10-18T00:00:00
3082,3801,Lord Browne of Belmont,Crossbench,2.0,2006-10-19T00:00:00,2009-09-30T00:00:00
3083,3801,Lord Browne of Belmont,Democratic Unionist Party,2.0,2009-10-01T00:00:00,
3084,4332,Baroness Rebuck,Labour,2.0,2014-09-18T00:00:00,
3085,4653,Stephen Morgan,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3086,4653,Stephen Morgan,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3087,4781,Dr Luke Evans,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3088,4561,Baroness Fall,Conservative,2.0,2015-10-22T00:00:00,
3089,33,Mr Eric Pickles,Conservative,1.0,1992-04-09T00:00:00,2015-03-30T00:00:00
3090,33,Mr Eric Pickles,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3091,33,Mr Eric Pickles,Conservative,1.0,2018-06-18T00:00:00,
3092,3790,Baroness Verma,Conservative,2.0,2006-06-02T00:00:00,
3093,3120,Lord Skidelsky,Conservative,2.0,1991-07-15T00:00:00,2001-10-14T00:00:00
3094,3120,Lord Skidelsky,Crossbench,2.0,2001-10-15T00:00:00,
3095,4721,Baroness Hallett,Crossbench,2.0,2019-10-11T00:00:00,
3096,1408,Mr Hugo Swire,Conservative,1.0,2001-06-07T00:00:00,2015-03-30T00:00:00
3097,1408,Mr Hugo Swire,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3098,1408,Mr Hugo Swire,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3099,1408,Mr Hugo Swire,Conservative,1.0,2022-11-01T00:00:00,
3100,2760,Lord Fairfax of Cameron,Conservative,2.0,2015-11-25T00:00:00,
3101,2760,Lord Fairfax of Cameron,Conservative,2.0,1977-02-16T00:00:00,1999-11-11T00:00:00
3102,4681,Mr Bob Seely,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3103,4681,Mr Bob Seely,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3104,4812,Dean Russell,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3105,2491,Lord Filkin,Labour,2.0,1999-07-29T00:00:00,2013-11-12T00:00:00
3106,2491,Lord Filkin,Labour,2.0,2019-01-07T00:00:00,
3107,2491,Lord Filkin,Non-affiliated,2.0,2013-11-13T00:00:00,2019-01-07T00:00:00
3108,4008,Caroline Dinenage,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
3109,4008,Caroline Dinenage,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3110,4008,Caroline Dinenage,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3111,4008,Caroline Dinenage,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3112,4832,Nick Fletcher,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3113,3482,Lord Alli,Labour,2.0,1998-07-18T00:00:00,
3114,4997,Lord de Clifford,Crossbench,2.0,2023-09-26T00:00:00,
3115,489,Mr Dave Watts,Labour,1.0,1997-05-01T00:00:00,2015-03-30T00:00:00
3116,489,Mr Dave Watts,Labour,1.0,2015-10-23T00:00:00,
3117,547,Mr Dafydd Wigley,Plaid Cymru,1.0,1974-02-28T00:00:00,2001-06-06T00:00:00
3118,547,Mr Dafydd Wigley,Plaid Cymru,1.0,2011-01-19T00:00:00,
3119,4208,Lord Fellowes of West Stafford,Conservative,2.0,2011-01-12T00:00:00,
3120,3651,Lord Triesman,Labour,2.0,2004-01-12T00:00:00,2019-07-09T00:00:00
3121,3651,Lord Triesman,Non-affiliated,2.0,2019-07-09T00:00:00,2020-06-16T00:00:00
3122,3651,Lord Triesman,Labour,2.0,2020-06-16T00:00:00,
3123,4596,Lord Colgrain,Conservative,2.0,2017-03-27T00:00:00,
3124,4822,Feryal Clark,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
